PosX,PosY,PosZ,H(0.0-1.0),S(0.0-1.0),L(0.0-1.0),R(0-255),G(0-255),B(0-255)
-0.3174531,-0.04705882,-0.7090995,0.06699262,0.7777778,0.4764706,216,103,26
-0.622277,-0.1215686,-0.7732998,0.1078437,1,0.4392157,224,144,0
0.006912478,0.4941177,-0.01900013,0.9444667,0.02325581,0.7470589,192,189,190
-0.732962,-0.02745098,-0.6797155,0.130996,1,0.4862745,248,195,0
-0.2159251,-0.3803921,-0.1175308,0.1706666,0.2658228,0.3098039,99,100,58
-0.4900621,-0.7843137,-0.2555453,0.1735,0.8909091,0.1078431,50,51,3
-0.1143696,0.09411764,-0.05040392,0.1839345,0.1255412,0.5470588,151,154,124
-0.03672564,0.5254903,-0.3284289,0.01772343,0.3884298,0.7627451,218,176,171
0.05469755,0.2862746,-0.03161021,0.8334,0.06593407,0.6431373,170,158,170
0.1012321,0.6039217,0.1506523,0.5941652,0.2277228,0.8019608,193,203,216
-0.03540614,0.6666667,-0.07053211,0.07404449,0.1058824,0.8333334,217,212,208
-0.0384298,0.9254901,-0.04582482,0.1110667,0.1578947,0.9627451,247,246,243
-0.1863926,-0.1803921,-0.1190938,0.1595106,0.2248804,0.4098039,128,126,81
-0.6043661,-0.2078431,-0.7443286,0.1085424,0.980198,0.3960784,200,130,1
